yearSeason,urlSeasonBREF,winsTeam,lossesTeam,winsPythagTeam,lossesPythagTeam,marginVictoryTeam,ratioFTtoFGATeam,ratioFTtoFGAOpponent,nameArena,attendancePerGameTeam,Team,urlBREFTeamData,idTeamNBA,urlThumbnailTeam,ageMeanMisc,ratingStrengthOfScheduleMisc,ratingSimpleSystemMisc,ortgTeamMisc,drtgTeamMisc,nrtgTeamMisc,paceTeamMisc,pctFTRateMisc,pct3PRateMisc,pctTrueShootingeTeamMisc,pctEFGTeamMisc,pctTOVTeamMisc,pctORBTeamMisc,pctEFGTeamOppMisc,pctTOVOpponentMisc,pctDRBOpponentMisc,isPlayoffTeam,beatExpectedWins
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,67,15,67,15,11.63,0.204,0.198,Oracle Arena,19596,GSW,https://www.basketball-reference.com/teams/GSW/2017.html,1610612744,https://stats.nba.com/media/img/teams/logos/GSW_logo.svg,28.2,-0.28,11.35,115.6,104,11.6,99.8,0.259,0.359,0.597,0.563,13.2,22.8,0.486,13.5,74.9,TRUE,FALSE
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,61,21,60,22,7.2,0.21,0.192,AT&T Center,18423,SAS,https://www.basketball-reference.com/teams/SAS/2017.html,1610612759,https://stats.nba.com/media/img/teams/logos/SAS_logo.svg,29.6,-0.06,7.13,111.1,103.5,7.6,94.2,0.263,0.281,0.564,0.524,12.6,24,0.492,13.5,77.6,TRUE,TRUE
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,55,27,55,27,5.77,0.233,0.194,Toyota Center,16973,HOU,https://www.basketball-reference.com/teams/HOU/2017.html,1610612745,https://stats.nba.com/media/img/teams/logos/HOU_logo.svg,27.4,0.08,5.84,114.7,109,5.7,100,0.304,0.462,0.583,0.545,13.3,24.6,0.519,13.2,75.8,TRUE,FALSE
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,51,31,52,30,4.29,0.233,0.211,STAPLES Center,19088,LAC,https://www.basketball-reference.com/teams/LAC/2017.html,1610612746,https://stats.nba.com/media/img/teams/logos/LAC_logo.svg,30,0.13,4.42,112.7,108.2,4.5,96.1,0.312,0.329,0.574,0.537,12,21.5,0.506,12.1,76.9,TRUE,FALSE
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,51,31,52,30,3.94,0.215,0.195,Vivint Smart Home Arena,19662,UTA,https://www.basketball-reference.com/teams/UTA/2017.html,1610612762,https://stats.nba.com/media/img/teams/logos/UTA_logo.svg,26.8,0.06,4,109.6,105.3,4.3,91.6,0.288,0.327,0.563,0.526,13.2,23.2,0.493,11.8,78.9,TRUE,FALSE
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,51,31,52,30,4.21,0.233,0.223,Air Canada Centre,19830,TOR,https://www.basketball-reference.com/teams/TOR/2017.html,1610612761,https://stats.nba.com/media/img/teams/logos/TOR_logo.svg,26.1,-0.56,3.65,112.3,107.8,4.5,94.7,0.293,0.289,0.561,0.517,11.8,25,0.507,13.5,76.3,TRUE,FALSE
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,51,31,49,33,3.18,0.206,0.174,Quicken Loans Arena,20562,CLE,https://www.basketball-reference.com/teams/CLE/2017.html,1610612739,https://stats.nba.com/media/img/teams/logos/CLE_logo.svg,29.2,-0.31,2.87,113.6,110.3,3.3,96.2,0.275,0.399,0.58,0.547,12.6,21.9,0.516,11.4,75.8,TRUE,TRUE
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,53,29,48,34,2.63,0.22,0.223,TD Garden,18553,BOS,https://www.basketball-reference.com/teams/BOS/2017.html,1610612738,https://stats.nba.com/media/img/teams/logos/BOS_logo.svg,25.9,-0.39,2.25,111.2,108.4,2.8,96.8,0.273,0.393,0.567,0.525,12.2,21.2,0.503,12.6,75.3,TRUE,TRUE
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,49,33,46,36,1.8,0.199,0.213,Verizon Center,17003,WAS,https://www.basketball-reference.com/teams/WAS/2017.html,1610612764,https://stats.nba.com/media/img/teams/logos/WAS_logo.svg,26,-0.45,1.36,111.2,109.3,1.9,97.4,0.254,0.284,0.564,0.528,12.8,24.1,0.524,13.8,75.5,TRUE,TRUE
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,47,35,43,39,0.76,0.22,0.218,Chesapeake Energy Arena,18203,OKC,https://www.basketball-reference.com/teams/OKC/2017.html,1610612760,https://stats.nba.com/media/img/teams/logos/OKC_logo.svg,24.7,0.39,1.14,108.3,107.5,0.8,97.8,0.295,0.295,0.54,0.5,13.2,27.9,0.511,12.5,79,TRUE,TRUE
